businesstype,year,predicted_count,ci_lower,ci_upper
exhibitions/shows/concerts *historic*,2029,10.418037192964034,3.17279867321484,17.733858721849096
scavenging *historic*,2025,1.9955270515002408,0.0,4.302281603250682
scavenging *historic*,2026,1.9207880043287873,0.0,4.345009421784361
scavenging *historic*,2027,1.846048957157338,0.0,4.417623873873867
scavenging *historic*,2028,1.7713099099858853,0.0,4.491947732856829
scavenging *historic*,2029,1.696570862814436,0.0,4.566271591839778
moving/transfer service *historic*,2025,3.4366153232115506,1.223106345696968,5.842290765861244
moving/transfer service *historic*,2026,3.4062478651172516,1.0431518080697089,5.857137639068912
moving/transfer service *historic*,2027,3.37588040702295,0.8396041629093859,5.886564390963236
moving/transfer service *historic*,2028,3.3455129489286484,0.6430613161871392,5.9048921544906525
moving/transfer service *historic*,2029,3.315145490834349,0.4465184694648628,5.93632393516599
seamstress/tailor *historic*,2025,1.3369067557678043,0.41035856356005096,2.417625090426812
seamstress/tailor *historic*,2026,1.3102580494544358,0.27565533337339476,2.4471591411462033
seamstress/tailor *historic*,2027,1.2836093431410651,0.16083719435127297,2.5047122856223116
seamstress/tailor *historic*,2028,1.256960636827695,0.04980347522898898,2.5477992976220167
seamstress/tailor *historic*,2029,1.2303119305143277,0.0,2.5708703213056827
auto parking lot/parkade *historic*,2025,1.5762271828829542,0.0,4.5273198147673295
auto parking lot/parkade *historic*,2026,1.438826961253264,0.0,4.540273282271494
auto parking lot/parkade *historic*,2027,1.3014267396235737,0.0,4.553226749775656
auto parking lot/parkade *historic*,2028,1.1640265179938845,0.0,4.566180217279821
auto parking lot/parkade *historic*,2029,1.0266262963641977,0.0,4.579133684783994
auctioneer *historic*,2025,1.0,1.0,1.0
auctioneer *historic*,2026,1.0,1.0,1.0
auctioneer *historic*,2027,1.0,1.0,1.0
auctioneer *historic*,2028,1.0,1.0,1.0
auctioneer *historic*,2029,1.0,1.0,1.0
carpet/upholstery cleaner *historic*,2025,1.7346397368975226,0.8249301896664984,4.238760835303389
carpet/upholstery cleaner *historic*,2026,1.740669677218592,0.7627178996923413,4.352974783293924
carpet/upholstery cleaner *historic*,2027,1.7466996175396619,0.7084975306251969,4.467188731284471
carpet/upholstery cleaner *historic*,2028,1.7527295578607323,0.6546770453941744,4.581402679275019
carpet/upholstery cleaner *historic*,2029,1.7587594981818,0.5950044603033007,4.695616627265567
electrical-security alarm installation *historic*,2025,5.565467279769777,2.987103703777966,10.222903332741158
electrical-security alarm installation *historic*,2026,5.592412325653806,2.922905586516481,10.472398699416955
electrical-security alarm installation *historic*,2027,5.619357371537821,2.7653940460686357,10.721894066092725
electrical-security alarm installation *historic*,2028,5.646302417421859,2.6573588251259297,10.971389432768436
electrical-security alarm installation *historic*,2029,5.673247463305878,2.5705396544222863,11.220884799444207
